JobTitle,Company,Location,Experience,Degree,Summary,Salary,JobUrl,PostDate,ExtractDate
【運維】網路管理工程師(不同班別各1至2名),帝群網路科技有限公司,台北市內湖區,經歷不拘,專科,工作職責：1、依專案需求，建置 AWS、Aliyun等雲產品，進行環境配置、上線部署、安全管控等工作。2、負責網路環境管理及監控，包括端口開放管理、漏洞與補丁管理、防火牆策略設定。3、負責日常服務器的巡檢，包括狀態監控、升級、故障處理及優化等操作。4、負責及時回應生產環境的監控預警、故障及突發情況的分析和解決。5、負責運維相關腳本開發和平臺部署和自動化管理。6、主管交辦事項。任職要求：1、熟悉 TCP/IP 和 HTTP 協議及相關場景，能排查網路障礙，優化網路質量。2、有 Web 系統和相關組件的維護經驗，並曾佈署及維運Nginx等網站服務。3、熟悉腳本語言 Shell / Python 並有相關開發應用經驗，能進行系統診斷和優化。4、熟悉常用的監控系統，如 Zabbix、Prometheus、Cacti 等。5、擁有1年以上 linux 系統使用和管理經驗，熟悉系統原理。,,https://www.104.com.tw/job/7am7x?jobsource=hotjob_chr,system recommend,2022-01-11
網路行銷／數位行銷 ,猿創力程式設計學校_壞主意有限公司,台北市松山區,經歷不拘,專科,"【關於網路行銷／數位行銷】網路行銷／數位行銷部，是猿創力的佈道師和化粧師，藉由強大的創意和行動力，透過網路行銷和實體行銷，把猿創力的特色課程與產品推到全亞洲的角落。＊ 提昇品牌知名度及信任感，傳遞品牌精神＊ 廣告操作與成效評估，落實AARRR之轉換效率及業績之提昇網路行銷：＊ 品牌官網之規劃、使用者經驗設計、Landing page設計優化、SEO/SEM＊ 內容社群行銷、部落格、Facebook粉絲團、LINE@＊ 廣告文案及視覺規劃，投放操作及成效數據評估分析（Google/Facebook）實體行銷：＊ 展覽＆比賽策展企劃執行＊ 年度說明體驗會企劃執行＊ 年度成果發表會企劃執行【行銷專員需求】＊ 具備獨立企劃與文案能力，對行銷充滿熱情，主動發想與企劃專案＊ 有投放 Facebook/Google廣告之能力，進行廣告數據分析及調整＊ 提案與簡報技巧、網站企劃能力、網路活動規劃與執行＊ 使用各種類型行銷相關工具 : GA / Facebook / IG / Line / EDM .....等 【關於猿創力程式設計學校】CodingAPE猿創力程式設計學校專注於兒童青少年程式設計教育，我們希望為下一代的孩子培養的不只是程式設計的技能，更要讓孩子擁有邏輯思考和問題解決的能力。自從創立以來，已有數千位學生參加我們精心規劃的程式設計課程及營隊，每年的學生人數皆持續成長中，因此我們正在打造一個精英教育團隊，一起努力打造夢想，成為亞洲區的領導程式教育品牌，培育未來創新人才！我們的課程涵蓋了從幼稚園、國小、國中到高中完整的程式設計課程體系，從程式啟蒙、創造到菁英課程，所教授的程式語言包含了Scratch, App, Python, C/C++, 更持續擴展至其他語言。【加入猿創力團隊的好處】若您成為我們的網路行銷業務專員，您可以－得到一套未來受用無窮的工作技能，學習程式設計的知識－加入一個正在高速成長的教育A team團隊－與優秀人才一同交流－從實務行銷操作獲得行銷知識及能力的成長 －擁有永遠吃不完的零食櫃，輕鬆有趣的開放式工作環境 －從使用者分析、招生行銷、社群經營、數據分析到品牌經營，一次了解「線上線下整合行銷」的完整流程 －充分的嘗試空間 －每月固定Happy Hour（聚餐、電影、運動、桌遊...我們都玩過） －彈性上下班制度－工作配備：舒適明亮的工作環境","月薪30,000~40,000元",https://www.104.com.tw/job/6c59o?jobsource=hotjob_chr,system recommend,2022-01-11
【儲備幹部】財金儲備幹部(TA),玉山銀行_玉山商業銀行股份有限公司,台北市松山區,經歷不拘,碩士,直接走進一流交易室，站上國際金融舞台1.接受輪調培育訓練，建立全面Treasury專業視野2.高度挑戰與成長，整合程式、數理與金融等跨領域專業3.完整職涯發展，歡迎對財金交易或財務工程有興趣之優秀人才104僅供職缺參考，若你對此職缺有興趣，請至本行「玉山菁英甄選網站」投遞履歷，如經書審通過，將邀請你參加面談。【投遞網址：https://esnhr.pse.is/394b2n 】,,https://www.104.com.tw/job/6v672?jobsource=hotjob_chr,system recommend,2022-01-11
Database/Back-end Engineer 後端資料庫開發工程師(可遠距上班),美商迪諾亞股份有限公司台灣分公司,台北市內湖區,3年以上,大學,"本職缺為後端開發工程師 (Back-end Engineer)， 從事本公司雲端服務器的後端工作研發 (熟悉資料庫系統者優先面試)。 本公司的服務器為基於公有雲之架構，運行於AWS和GCP之上。*** 應徵前，請至EVOX官網了解產品 https://www.evoxglobal.com/*** EVOX為創新之月租型往商務通訊商品，比傳統電信更具彈性，以及多項優點本公司產品為雲端通訊服務軟體EVOX以及D2雲通訊平台V2M，在台灣已經累積1千多家企業客戶，如: Foodpanda、台灣奧迪福斯汽車、OB嚴選、永聯物流、親子天下雜誌、世久營造、Klook、東森分眾傳媒、...、等知名企業，除了在台灣拓展商務，未來並計劃擴大市場至亞洲其他各國。美商迪諾亞D2 Nova為美商迪爾亞D2 Tech 轉投資的公司，承襲母公司專業的IP通訊技術，D2 Nova以發展網路服務SaaS、E-Commerce 為目標，並基於原母公司的電信技術IMS、VoLTE、RCS，結合OTT與Web雲端科技，將服務實現在公有雲(Public Cloud, AWS)之上，提供優質的企業通訊服務。D2 Nova總部設於美國加州聖塔芭芭拉。Company background: D2 Nova is a software startup with offices in Taipei, Taiwan and Santa Barbara, California. You can learn more about our offerings at http://www.d2nova.com and https://www.evoxglobal.com/tw/home關於職務 :  Job responsibilities:• Collaborate as part of a small, nimble development team to help  develop and   test new Software as a Service products.• Co-work with engineers in our Taipei and US locations to develop backend micro servicesQualifications & Experience:A qualified candidate has a mix of the following experiences, and an eagerness to ramp up quickly in areas where they are lacking in hands-on industry experience. • BS in Computer Science, Software Engineering or related field• 2+ years' experience in Back-end Development• C/C++ Multi-threaded applications, Network Socket programming, WebSocket, REST API• Experience with Linux operating systems• Experience with Web Back-end Development, C/C++, WebSocket, RESTful APIs• Experience with database such as SQL, MySQL a plus• Strong understanding of Object Oriented Programming• Strong English language skills (written and verbal)Pluses:• Experience with TCP/IP, VoIP protocols, and Open Source VoIP packages such as FreeSWITCH, OpenSIPS, WebRTC• Experience with design patterns• Understanding of Agile and test-driven development methodologies• Familiar with Bash Scripts,  Python,  Docker• An understanding and passion for developing highly secure and highly available systems• A strong desire to learn new technology and teach others• Strong analytical, problem solving and production diagnostic skills• Experience training and mentoring othersLocation 工作地點: Taipei Neihu 台北 內科",,https://www.104.com.tw/job/7hk4b?jobsource=hotjob_chr,system recommend,2022-01-11
Python Engineer,億力資訊股份有限公司,台北市內湖區,經歷不拘,高中,1.具備Python實務專案經驗2.有Vue開發框架佳3.太陽能系統開發4.主動性強、樂與團隊互動討論5.須配合客戶端駐點,,https://www.104.com.tw/job/5z6t9?jobsource=jolist_b_relevance,1/06,2022-01-11
Python Web Developer,StreetVoice _街聲股份有限公司,台北市松山區,1年以上,大學,開發派歌網站系統，主要針對音樂人以及業務管理端的使用者介面、流程進行開發及修改，持續優化。工作上使用 Python / Django 以及 jQuery。 除了上述開發以外，其他工作內容如下:能力需求：需求及功能分析與其他同事互相進行,"月薪40,000~60,000元",https://www.104.com.tw/job/7982k?jobsource=jolist_b_relevance,12/30,2022-01-11
Python工程師,雙子數位科技有限公司,台北市內湖區,經歷不拘,學歷不拘,嗨～～哈囉～你是本公司要找的後端工程師高手嗎?就是你！別懷疑！！徵的就是你～本公司需要有在Python數據分析 實務上2-3年以上開發經驗的你唷～此職缺的職務內容有：• 負責各營運產品的模型運用、調整、流程優化• 開發新專案的原,,https://www.104.com.tw/job/7g51e?jobsource=jolist_b_relevance,1/05,2022-01-11
python工程師,英特拉金融科技股份有限公司,台北市大安區,3年以上,大學,工作內容： 1. Python維運及系統開發2.熟悉Python語言3.既有程式優化及修正並開發新功能 4.撰寫API文件5.規劃執行軟體架構及模組之設計6.具備 Git 版本管控 (GitLab)使用經驗7.具備,,https://www.104.com.tw/job/7fbet?jobsource=jolist_b_relevance,1/10,2022-01-11
Python開發,英屬維京群島商文思海輝技術有限公司台灣分公司,台北市中正區,經歷不拘,專科,1. 分析客戶需求，程序設計/框架流程等2. 按照項目計劃，完成相應的任務3. 輔助工具開發和維護Job Requirements：1. 熟練掌握 Python語言，2年以上python相關工作經驗；2. 有使用 Linux 的經驗；,"月薪50,000~80,000元",https://www.104.com.tw/job/7gel0?jobsource=jolist_b_relevance,1/06,2022-01-11
Python Developer / Senior Python Developer,鏈科股份有限公司,台北市松山區,3年以上,大學,"government (NDF)!We’re hiring for python developers and senior python developers who have an eye for performance, utility","年薪700,000~1,500,000元",https://www.104.com.tw/job/7ff0w?jobsource=jolist_b_relevance,1/10,2022-01-11
Python工程師,緯德科技股份有限公司 (TechLink Corporation),台北市松山區,1年以上,專科,- 熟悉Python語言撰寫實務經驗1年以上。- 可獨立或與團隊合作，工作態度積極、負責，能配合公司規定。- 依不同經驗及能力來負責系統之分析(SA)、設計(SD)以及程式撰寫(PG)。- 配合公司專案需求至客戶端駐點服務。,,https://www.104.com.tw/job/695ve?jobsource=jolist_b_relevance,1/10,2022-01-11
Python Backend Engineer,禾向數位科技有限公司,台北市內湖區,1年以上,專科,1. 負責搭建和持續改進項目平台2. 負責數據分析平台開發與優化3. 持續提升團隊工程效率，探索符合團隊特色的工作流必備條件(含技術工具、語言及工作經歷)：- 資訊相關科系大學以上學歷、至少1年的後端Web開發經驗- 熟悉Python,"月薪40,000~100,000元",https://www.104.com.tw/job/71i7c?jobsource=jolist_b_relevance,1/11,2022-01-11
Python工程師,米約科技有限公司,台北市中山區,經歷不拘,學歷不拘,"1.熟悉數據結構和演算法2.熟悉 Python 編程語言， 有大型項目架構經驗優先3.熟悉至少一種關係型數據庫 MySQL， PostgreSQL4.熟悉至少一樣web框架， tornado/sanic/flask/Django, 並能掌握",,https://www.104.com.tw/job/6zey2?jobsource=jolist_b_relevance,1/06,2022-01-11
python網路爬蟲工程師,邁創科技有限公司,台北市信義區,2年以上,專科,資料的完整性和準確性。【應徵條件】1.精通 python 開發， 2 年以上爬蟲相關經驗。2.熟悉 TCP/IP，HTTP 及相關網路通訊協定。3.瞭解各種 Web 前端技術，包括 XHTML/XML/CSS/JavaScript/,,https://www.104.com.tw/job/7hbuo?jobsource=jolist_b_relevance,1/05,2022-01-11
Python/Golang後端工程師(IoT物聯網應用),易勝資訊股份有限公司,台北市松山區,1年以上,大學,"使用技術條件：熟悉 Python or Golang程式語言熟悉 Shell script 腳本熟悉資料庫:PostgreSQL, MongoDB擇一熟悉容器化技術: Docker, docker-compose, k8s (",,https://www.104.com.tw/job/7hrrv?jobsource=jolist_b_relevance,1/05,2022-01-11
Python後端工程師,易勝資訊股份有限公司,台北市信義區,1年以上,大學,使用技術條件：熟悉 Python 程式語言熟悉 Django、Flask或其他Python網頁開發框架熟悉 Linux、Mac 或 BSD 作業系統熟悉API以下為加分條件：喜歡學習/研究新技術者佳了解K8S微服務善團隊合作,,https://www.104.com.tw/job/76vbt?jobsource=jolist_b_relevance,1/05,2022-01-11
python工程師,雄獅資訊科技股份有限公司,台北市內湖區,1年以上,專科,"助專案架構設計職務需求：1.熟悉 Flask 框架2.熟悉 Git 開發管理專案3.熟悉 SQL 及 MongoDB 資料庫4.熟悉 ML 相關知識5.熟悉Python程式語言，包含Pandas, Numpy, Sklearn,",,https://www.104.com.tw/job/71rxc?jobsource=jolist_b_relevance,1/04,2022-01-11
Python工程師,點睛品_英屬維爾京群島商周生生珠寶行股份有限公司台灣分公司,台北市南港區,1年以上,專科,"- 熟悉Python程式語言- 熟悉Pandas, Numpy, Sklearn, Tensorflow, Pytorch- 熟悉ETL流程,資料收集/清理/建模- 良好溝通能力[加分項目]- 熟悉Fastapi 或 Flask-",,https://www.104.com.tw/job/7hq8v?jobsource=jolist_b_relevance,1/04,2022-01-11
Python 後端工程師,大慶證券股份有限公司_總管理處,台北市中山區,經歷不拘,大學,路金融科技正在以令人難以想像的速度改變世界。在這樣的大背景下，科技能力也是亞洲價值資本一直以來著力投資建設的核心競爭力之一。我們希望藉由金融科技的力量與客戶建立深度互信的合作關係，同時將正確的理財知識和觀念散播給更多的人。Python 後端工程師將,,https://www.104.com.tw/job/7bu9e?jobsource=jolist_b_relevance,1/04,2022-01-11
Python工程師 Python Engineer,先鋒網絡服務有限公司,台北市大安區,2年以上,專科,【關於團隊】- 我們樂於互相分享，也樂於互相學習- 我們有主動發現問題，主動解決問題的特質- 我們正在尋找具備自主學習能力的軟體工程師，並樂於以創新的思維及樂觀積極的態度面對挑戰，歡迎您成為團隊一份子！【職務內容】1. 負責設計並開發網路爬蟲系統，進行多平台資訊的抓取和分析工作，實時監控爬蟲的進度和警報反饋。2. 依據產品架構，設計及實作軟體模組。3. 依據專案需求，完成關鍵技術研究與實做。4. 軟體模組單元及整合測試。【其他】1、通過試用期後將視個人表現調整薪資。2、工程師彈性上下班時間為09:00-09:30~18:00-18:30,,https://www.104.com.tw/job/7cw99?jobsource=jolist_b_relevance,1/05,2022-01-11
Jr. Python/Django 後端工程師,矽羽科技有限公司,台北市大安區,1年以上,專科,"is easy to use, reliable, smart and can disrupt the market!Qualifications:>2+ years of experience in Python with Django","年薪700,000~900,000元",https://www.104.com.tw/job/7g259?jobsource=jolist_b_relevance,12/21,2022-01-11
Python Backend 工程師,合翔資訊科技有限公司,台北市內湖區,3年以上,專科,必備條件(含技術工具、語言及工作經歷)：* 資訊相關科系大學以上學歷、至少3年的後端Web開發經驗* 熟悉Python語言以及常用的類庫，有Web研發相關知識，熟悉至少一個Python Web框架(如Flask/Django/tornado),"月薪40,000~100,000元",https://www.104.com.tw/job/7fif4?jobsource=jolist_b_relevance,1/05,2022-01-11
python工程師,普匯金融科技股份有限公司,台北市中山區,1年以上,專科,投資及多家銀行合作，是未來的AI金融科技獨角獸，後端工程師除了能開發最真實的金融服務系統，更有機會走在台灣金融科技的前緣，工作內容為開發 Python 相關子系統，如爬蟲、自動化系統等。希望你加入我們一起成長，用專業的技術一起為台灣金融科技產業,,https://www.104.com.tw/job/7ark5?jobsource=jolist_b_relevance,1/05,2022-01-11
Python 後端工程師,奧米科技有限公司,台北市內湖區,經歷不拘,大學,技術資格：具備以下開發經驗與技術※ 熟悉Python語言撰寫實務經驗2年以上。※ 可獨立或與團隊合作，工作態度積極、負責，能配合公司規定。※ 依不同經驗及能力來負責系統之分析(SA)、設計(SD)以及程式撰寫(PG)。※ 熟悉 AI應用系,,https://www.104.com.tw/job/78ybw?jobsource=jolist_b_relevance,1/05,2022-01-11
【運維】網路管理工程師(不同班別各1至2名),帝群網路科技有限公司,台北市內湖區,經歷不拘,專科,工作職責：1、依專案需求，建置 AWS、Aliyun等雲產品，進行環境配置、上線部署、安全管控等工作。2、負責網路環境管理及監控，包括端口開放管理、漏洞與補丁管理、防火牆策略設定。3、負責日常服務器的巡檢，包括狀態監控、升級、故障處理及優化等操作。4、負責及時回應生產環境的監控預警、故障及突發情況的分析和解決。5、負責運維相關腳本開發和平臺部署和自動化管理。6、主管交辦事項。任職要求：1、熟悉 TCP/IP 和 HTTP 協議及相關場景，能排查網路障礙，優化網路質量。2、有 Web 系統和相關組件的維護經驗，並曾佈署及維運Nginx等網站服務。3、熟悉腳本語言 Shell / Python 並有相關開發應用經驗，能進行系統診斷和優化。4、熟悉常用的監控系統，如 Zabbix、Prometheus、Cacti 等。5、擁有1年以上 linux 系統使用和管理經驗，熟悉系統原理。,,https://www.104.com.tw/job/7am7x?jobsource=hotjob_chr,system recommend,2022-01-11
【儲備幹部】財金儲備幹部(TA),玉山銀行_玉山商業銀行股份有限公司,台北市松山區,經歷不拘,碩士,直接走進一流交易室，站上國際金融舞台1.接受輪調培育訓練，建立全面Treasury專業視野2.高度挑戰與成長，整合程式、數理與金融等跨領域專業3.完整職涯發展，歡迎對財金交易或財務工程有興趣之優秀人才104僅供職缺參考，若你對此職缺有興趣，請至本行「玉山菁英甄選網站」投遞履歷，如經書審通過，將邀請你參加面談。【投遞網址：https://esnhr.pse.is/394b2n 】,,https://www.104.com.tw/job/6v672?jobsource=hotjob_chr,system recommend,2022-01-11
網路行銷／數位行銷 ,猿創力程式設計學校_壞主意有限公司,台北市松山區,經歷不拘,專科,"【關於網路行銷／數位行銷】網路行銷／數位行銷部，是猿創力的佈道師和化粧師，藉由強大的創意和行動力，透過網路行銷和實體行銷，把猿創力的特色課程與產品推到全亞洲的角落。＊ 提昇品牌知名度及信任感，傳遞品牌精神＊ 廣告操作與成效評估，落實AARRR之轉換效率及業績之提昇網路行銷：＊ 品牌官網之規劃、使用者經驗設計、Landing page設計優化、SEO/SEM＊ 內容社群行銷、部落格、Facebook粉絲團、LINE@＊ 廣告文案及視覺規劃，投放操作及成效數據評估分析（Google/Facebook）實體行銷：＊ 展覽＆比賽策展企劃執行＊ 年度說明體驗會企劃執行＊ 年度成果發表會企劃執行【行銷專員需求】＊ 具備獨立企劃與文案能力，對行銷充滿熱情，主動發想與企劃專案＊ 有投放 Facebook/Google廣告之能力，進行廣告數據分析及調整＊ 提案與簡報技巧、網站企劃能力、網路活動規劃與執行＊ 使用各種類型行銷相關工具 : GA / Facebook / IG / Line / EDM .....等 【關於猿創力程式設計學校】CodingAPE猿創力程式設計學校專注於兒童青少年程式設計教育，我們希望為下一代的孩子培養的不只是程式設計的技能，更要讓孩子擁有邏輯思考和問題解決的能力。自從創立以來，已有數千位學生參加我們精心規劃的程式設計課程及營隊，每年的學生人數皆持續成長中，因此我們正在打造一個精英教育團隊，一起努力打造夢想，成為亞洲區的領導程式教育品牌，培育未來創新人才！我們的課程涵蓋了從幼稚園、國小、國中到高中完整的程式設計課程體系，從程式啟蒙、創造到菁英課程，所教授的程式語言包含了Scratch, App, Python, C/C++, 更持續擴展至其他語言。【加入猿創力團隊的好處】若您成為我們的網路行銷業務專員，您可以－得到一套未來受用無窮的工作技能，學習程式設計的知識－加入一個正在高速成長的教育A team團隊－與優秀人才一同交流－從實務行銷操作獲得行銷知識及能力的成長 －擁有永遠吃不完的零食櫃，輕鬆有趣的開放式工作環境 －從使用者分析、招生行銷、社群經營、數據分析到品牌經營，一次了解「線上線下整合行銷」的完整流程 －充分的嘗試空間 －每月固定Happy Hour（聚餐、電影、運動、桌遊...我們都玩過） －彈性上下班制度－工作配備：舒適明亮的工作環境","月薪30,000~40,000元",https://www.104.com.tw/job/6c59o?jobsource=hotjob_chr,system recommend,2022-01-11
Database/Back-end Engineer 後端資料庫開發工程師(可遠距上班),美商迪諾亞股份有限公司台灣分公司,台北市內湖區,3年以上,大學,"本職缺為後端開發工程師 (Back-end Engineer)， 從事本公司雲端服務器的後端工作研發 (熟悉資料庫系統者優先面試)。 本公司的服務器為基於公有雲之架構，運行於AWS和GCP之上。*** 應徵前，請至EVOX官網了解產品 https://www.evoxglobal.com/*** EVOX為創新之月租型往商務通訊商品，比傳統電信更具彈性，以及多項優點本公司產品為雲端通訊服務軟體EVOX以及D2雲通訊平台V2M，在台灣已經累積1千多家企業客戶，如: Foodpanda、台灣奧迪福斯汽車、OB嚴選、永聯物流、親子天下雜誌、世久營造、Klook、東森分眾傳媒、...、等知名企業，除了在台灣拓展商務，未來並計劃擴大市場至亞洲其他各國。美商迪諾亞D2 Nova為美商迪爾亞D2 Tech 轉投資的公司，承襲母公司專業的IP通訊技術，D2 Nova以發展網路服務SaaS、E-Commerce 為目標，並基於原母公司的電信技術IMS、VoLTE、RCS，結合OTT與Web雲端科技，將服務實現在公有雲(Public Cloud, AWS)之上，提供優質的企業通訊服務。D2 Nova總部設於美國加州聖塔芭芭拉。Company background: D2 Nova is a software startup with offices in Taipei, Taiwan and Santa Barbara, California. You can learn more about our offerings at http://www.d2nova.com and https://www.evoxglobal.com/tw/home關於職務 :  Job responsibilities:• Collaborate as part of a small, nimble development team to help  develop and   test new Software as a Service products.• Co-work with engineers in our Taipei and US locations to develop backend micro servicesQualifications & Experience:A qualified candidate has a mix of the following experiences, and an eagerness to ramp up quickly in areas where they are lacking in hands-on industry experience. • BS in Computer Science, Software Engineering or related field• 2+ years' experience in Back-end Development• C/C++ Multi-threaded applications, Network Socket programming, WebSocket, REST API• Experience with Linux operating systems• Experience with Web Back-end Development, C/C++, WebSocket, RESTful APIs• Experience with database such as SQL, MySQL a plus• Strong understanding of Object Oriented Programming• Strong English language skills (written and verbal)Pluses:• Experience with TCP/IP, VoIP protocols, and Open Source VoIP packages such as FreeSWITCH, OpenSIPS, WebRTC• Experience with design patterns• Understanding of Agile and test-driven development methodologies• Familiar with Bash Scripts,  Python,  Docker• An understanding and passion for developing highly secure and highly available systems• A strong desire to learn new technology and teach others• Strong analytical, problem solving and production diagnostic skills• Experience training and mentoring othersLocation 工作地點: Taipei Neihu 台北 內科",,https://www.104.com.tw/job/7hk4b?jobsource=hotjob_chr,system recommend,2022-01-11
Python Engineer,億力資訊股份有限公司,台北市內湖區,經歷不拘,高中,1.具備Python實務專案經驗2.有Vue開發框架佳3.太陽能系統開發4.主動性強、樂與團隊互動討論5.須配合客戶端駐點,,https://www.104.com.tw/job/5z6t9?jobsource=jolist_d_relevance,1/06,2022-01-11
Python Web Developer,StreetVoice _街聲股份有限公司,台北市松山區,1年以上,大學,開發派歌網站系統，主要針對音樂人以及業務管理端的使用者介面、流程進行開發及修改，持續優化。工作上使用 Python / Django 以及 jQuery。 除了上述開發以外，其他工作內容如下:能力需求：需求及功能分析與其他同事互相進行,"月薪40,000~60,000元",https://www.104.com.tw/job/7982k?jobsource=jolist_d_relevance,12/30,2022-01-11
Python工程師,雙子數位科技有限公司,台北市內湖區,經歷不拘,學歷不拘,嗨～～哈囉～你是本公司要找的後端工程師高手嗎?就是你！別懷疑！！徵的就是你～本公司需要有在Python數據分析 實務上2-3年以上開發經驗的你唷～此職缺的職務內容有：• 負責各營運產品的模型運用、調整、流程優化• 開發新專案的原,,https://www.104.com.tw/job/7g51e?jobsource=jolist_d_relevance,1/05,2022-01-11
python工程師,英特拉金融科技股份有限公司,台北市大安區,3年以上,大學,工作內容： 1. Python維運及系統開發2.熟悉Python語言3.既有程式優化及修正並開發新功能 4.撰寫API文件5.規劃執行軟體架構及模組之設計6.具備 Git 版本管控 (GitLab)使用經驗7.具備,,https://www.104.com.tw/job/7fbet?jobsource=jolist_d_relevance,1/10,2022-01-11
Python開發,英屬維京群島商文思海輝技術有限公司台灣分公司,台北市中正區,經歷不拘,專科,1. 分析客戶需求，程序設計/框架流程等2. 按照項目計劃，完成相應的任務3. 輔助工具開發和維護Job Requirements：1. 熟練掌握 Python語言，2年以上python相關工作經驗；2. 有使用 Linux 的經驗；,"月薪50,000~80,000元",https://www.104.com.tw/job/7gel0?jobsource=jolist_d_relevance,1/06,2022-01-11
Python Developer / Senior Python Developer,鏈科股份有限公司,台北市松山區,3年以上,大學,"government (NDF)!We’re hiring for python developers and senior python developers who have an eye for performance, utility","年薪700,000~1,500,000元",https://www.104.com.tw/job/7ff0w?jobsource=jolist_d_relevance,1/10,2022-01-11
Python工程師,緯德科技股份有限公司 (TechLink Corporation),台北市松山區,1年以上,專科,- 熟悉Python語言撰寫實務經驗1年以上。- 可獨立或與團隊合作，工作態度積極、負責，能配合公司規定。- 依不同經驗及能力來負責系統之分析(SA)、設計(SD)以及程式撰寫(PG)。- 配合公司專案需求至客戶端駐點服務。,,https://www.104.com.tw/job/695ve?jobsource=jolist_d_relevance,1/10,2022-01-11
Python Backend Engineer,禾向數位科技有限公司,台北市內湖區,1年以上,專科,1. 負責搭建和持續改進項目平台2. 負責數據分析平台開發與優化3. 持續提升團隊工程效率，探索符合團隊特色的工作流必備條件(含技術工具、語言及工作經歷)：- 資訊相關科系大學以上學歷、至少1年的後端Web開發經驗- 熟悉Python,"月薪40,000~100,000元",https://www.104.com.tw/job/71i7c?jobsource=jolist_d_relevance,1/11,2022-01-11
Python工程師,米約科技有限公司,台北市中山區,經歷不拘,學歷不拘,"1.熟悉數據結構和演算法2.熟悉 Python 編程語言， 有大型項目架構經驗優先3.熟悉至少一種關係型數據庫 MySQL， PostgreSQL4.熟悉至少一樣web框架， tornado/sanic/flask/Django, 並能掌握",,https://www.104.com.tw/job/6zey2?jobsource=jolist_d_relevance,1/06,2022-01-11
python網路爬蟲工程師,邁創科技有限公司,台北市信義區,2年以上,專科,資料的完整性和準確性。【應徵條件】1.精通 python 開發， 2 年以上爬蟲相關經驗。2.熟悉 TCP/IP，HTTP 及相關網路通訊協定。3.瞭解各種 Web 前端技術，包括 XHTML/XML/CSS/JavaScript/,,https://www.104.com.tw/job/7hbuo?jobsource=jolist_d_relevance,1/05,2022-01-11
Python/Golang後端工程師(IoT物聯網應用),易勝資訊股份有限公司,台北市松山區,1年以上,大學,"使用技術條件：熟悉 Python or Golang程式語言熟悉 Shell script 腳本熟悉資料庫:PostgreSQL, MongoDB擇一熟悉容器化技術: Docker, docker-compose, k8s (",,https://www.104.com.tw/job/7hrrv?jobsource=jolist_d_relevance,1/05,2022-01-11
Python後端工程師,易勝資訊股份有限公司,台北市信義區,1年以上,大學,使用技術條件：熟悉 Python 程式語言熟悉 Django、Flask或其他Python網頁開發框架熟悉 Linux、Mac 或 BSD 作業系統熟悉API以下為加分條件：喜歡學習/研究新技術者佳了解K8S微服務善團隊合作,,https://www.104.com.tw/job/76vbt?jobsource=jolist_d_relevance,1/05,2022-01-11
python工程師,雄獅資訊科技股份有限公司,台北市內湖區,1年以上,專科,"助專案架構設計職務需求：1.熟悉 Flask 框架2.熟悉 Git 開發管理專案3.熟悉 SQL 及 MongoDB 資料庫4.熟悉 ML 相關知識5.熟悉Python程式語言，包含Pandas, Numpy, Sklearn,",,https://www.104.com.tw/job/71rxc?jobsource=jolist_d_relevance,1/04,2022-01-11
Python工程師,點睛品_英屬維爾京群島商周生生珠寶行股份有限公司台灣分公司,台北市南港區,1年以上,專科,"- 熟悉Python程式語言- 熟悉Pandas, Numpy, Sklearn, Tensorflow, Pytorch- 熟悉ETL流程,資料收集/清理/建模- 良好溝通能力[加分項目]- 熟悉Fastapi 或 Flask-",,https://www.104.com.tw/job/7hq8v?jobsource=jolist_d_relevance,1/04,2022-01-11
Python 後端工程師,大慶證券股份有限公司_總管理處,台北市中山區,經歷不拘,大學,路金融科技正在以令人難以想像的速度改變世界。在這樣的大背景下，科技能力也是亞洲價值資本一直以來著力投資建設的核心競爭力之一。我們希望藉由金融科技的力量與客戶建立深度互信的合作關係，同時將正確的理財知識和觀念散播給更多的人。Python 後端工程師將,,https://www.104.com.tw/job/7bu9e?jobsource=jolist_d_relevance,1/04,2022-01-11
Python工程師 Python Engineer,先鋒網絡服務有限公司,台北市大安區,2年以上,專科,【關於團隊】- 我們樂於互相分享，也樂於互相學習- 我們有主動發現問題，主動解決問題的特質- 我們正在尋找具備自主學習能力的軟體工程師，並樂於以創新的思維及樂觀積極的態度面對挑戰，歡迎您成為團隊一份子！【職務內容】1. 負責設計並開發網路爬蟲系統，進行多平台資訊的抓取和分析工作，實時監控爬蟲的進度和警報反饋。2. 依據產品架構，設計及實作軟體模組。3. 依據專案需求，完成關鍵技術研究與實做。4. 軟體模組單元及整合測試。【其他】1、通過試用期後將視個人表現調整薪資。2、工程師彈性上下班時間為09:00-09:30~18:00-18:30,,https://www.104.com.tw/job/7cw99?jobsource=jolist_d_relevance,1/05,2022-01-11
Jr. Python/Django 後端工程師,矽羽科技有限公司,台北市大安區,1年以上,專科,"is easy to use, reliable, smart and can disrupt the market!Qualifications:>2+ years of experience in Python with Django","年薪700,000~900,000元",https://www.104.com.tw/job/7g259?jobsource=jolist_d_relevance,12/21,2022-01-11
